type,commit_hash,modifications,lines_added,lines_removed,lines_added+removed,diff_methods,changed_methods,complexity
other,fa4a6ace6322cfb8c37805101a018912d2674799,11.0,199.0,167.0,366.0,2.0,18.0,3.709.090.909.090.900
other,dddbd58581da38e605e8fe10387a184d6303b4df,16.0,365.0,399.0,764.0,2.0,82.0,888.125
other,1b6e9ff3098927138602fe39e546cdd2ee48f397,2.0,16.0,1.0,17.0,1.0,3.0,69.5
other,e8b752a7a95cef40b21e8ecb1e37f3577fa70441,1.0,1.0,2.0,3.0,0.0,1.0,49.0
other,f391dc5fd3336e40d5c7e73ec6ef1b97253719de,3.0,6.0,0.0,6.0,0.0,0.0,14.333.333.333.333.300
other,53e324589b2034b9b7e4bcf0660687165a3f3e3a,2.0,14.0,0.0,14.0,0.0,1.0,54.0
other,6286cac458902c9df0a6061bc163b9cd659ceae7,1.0,16.0,3.0,19.0,0.0,1.0,64.0
other,7e9e57603e97b8d780646665425ec9d12cd4d572,18.0,582.0,64.0,646.0,18.0,41.0,43.333.333.333.333.300
other,b822c0d38638eab892f57956a278ba0d89304779,2.0,11.0,1.0,12.0,1.0,3.0,161.0
other,5912d5e68afebf40d042986a10df9f4009ce0b95,1.0,43.0,0.0,43.0,2.0,2.0,73.0
other,40c0c47bfca308743568818b7a457ecd05b4c9ea,2.0,6.0,16.0,22.0,0.0,1.0,34.0
other,f38c74130d302352ee450e41c843dd99b51880e2,3.0,34.0,2.0,36.0,2.0,4.0,21.666.666.666.666.600
other,6552fece2ac1f22d5c6f9bc0d58ca1304268eb8e,2.0,13.0,0.0,13.0,1.0,2.0,70.0
other,d062472253f4936c2e9aae2d858290e692295f05,1.0,1.0,1.0,2.0,0.0,1.0,49.0
other,1f7e796e6e658df34a98276b2092a81de118937d,2.0,4.0,4.0,8.0,0.0,2.0,45.5
other,ef34a41d09fbcc8e03c179cb9b121c918f671f88,5.0,430.0,1.0,431.0,33.0,34.0,22.0
other,5a316c0b403809558d9a2227a4d8820642ec34f5,8.0,210.0,41.0,251.0,3.0,29.0,114.25
other,764b31b3e2367dcadacc08b818739b065b1c4bef,2.0,15.0,5.0,20.0,1.0,4.0,121.0
other,495b5f78a072b7812fe06f0b4c6565d5036f0587,1.0,4.0,0.0,4.0,0.0,0.0,90.0
other,62f2f823410661128d1d9549b9b727f824637f6c,2.0,33.0,3.0,36.0,1.0,2.0,64.5
other,2c95b0437ba953459838a72133baabc386ac7721,2.0,2.0,5.0,7.0,0.0,3.0,29.0
other,04a74b2df4754575a762ec0056209b9c9fce0062,11.0,83.0,57.0,140.0,2.0,20.0,8.763.636.363.636.360
other,af07e023f8d141d4a0cc165962b5f5cc997cff9c,5.0,77.0,4.0,81.0,5.0,12.0,38.4
other,9f9903e7a36a6b2d7944dc12bac4344b68643d8f,3.0,125.0,28.0,153.0,5.0,17.0,38.666.666.666.666.600
other,bcbbfc6a541a58960c85a765dd4bd5d3c6272c5c,1.0,4.0,7.0,11.0,0.0,1.0,7.0
other,0a8f4186440d7635eb19fdf7e685126fd0b00486,1.0,73.0,0.0,73.0,5.0,5.0,7.0
other,5373160d20aa3f6036ff5ebc91137888c4abffbe,6.0,321.0,1.0,322.0,11.0,18.0,41.0
other,fbf243b8807aae8e4eabfc91b29abe42334c7004,2.0,15.0,16.0,31.0,0.0,12.0,61.5
other,2b0a9f4909e841f174791501108f17b28230f640,2.0,5.0,3.0,8.0,0.0,2.0,242.0
other,70bf8e78b7dbf8ed08dfd93596ba6ebfca52d3a3,1.0,355.0,337.0,692.0,1.0,4.0,19.0
other,d313ffcca0d461352adc1ef6468094e230dbc48c,4.0,182.0,143.0,325.0,6.0,14.0,165.5
other,59ab235004550cdfb4033872b8736f0e86cef402,2.0,31.0,29.0,60.0,2.0,4.0,242.0
